[*] Computing DDT
[+] DDT Computed
DDT took 315.152751ms
Iter#1 New set #1 of size 34 (1.0 its/hit = 0.000s/hit): seed=734713444413843910 [0, 301, 339, 527, 800, 856, 926, 962, 1044, 1118, 1162, 1305, 1426, 1497, 1506, 1618, 1917, 2004, 2213, 2267, 2376, 2467, 2555, 2746, 2885, 2989, 3061, 3516, 3556, 3642, 3797, 4017, 4018, 4074]
Iter#3988 New set #20 of size 43 (199.4 its/hit = 0.050s/hit): seed=10662815575225176528 [0, 15, 43, 79, 265, 363, 532, 636, 770, 788, 1315, 1495, 1563, 1577, 1599, 1623, 1739, 1876, 1913, 2062, 2298, 2594, 2634, 2684, 2745, 2834, 2839, 2965, 2993, 3042, 3046, 3060, 3071, 3139, 3273, 3368, 3457, 3471, 3493, 3593, 3681, 3785, 3807]
Iter#6317 New set #30 of size 43 (210.6 its/hit = 0.067s/hit): seed=2682655699966998460 [0, 16, 17, 157, 273, 284, 564, 681, 812, 1018, 1128, 1176, 1348, 1413, 1565, 1710, 1808, 1894, 1942, 1976, 2123, 2179, 2347, 2364, 2446, 2494, 2774, 2785, 2836, 2838, 3176, 3196, 3212, 3293, 3368, 3371, 3510, 3519, 3703, 3727, 3871, 3954, 3970]
Iter#9290 New set #40 of size 43 (232.2 its/hit = 0.075s/hit): seed=447603244753249201 [0, 168, 204, 272, 277, 416, 563, 669, 821, 979, 1116, 1170, 1183, 1494, 1582, 1695, 1804, 1807, 1867, 2039, 2096, 2174, 2397, 2421, 2457, 2537, 2582, 2601, 2633, 2678, 2792, 2820, 2974, 3053, 3089, 3151, 3393, 3407, 3725, 3762, 3794, 3821, 3851]
Iter#11175 New set #50 of size 43 (223.5 its/hit = 0.060s/hit): seed=10716889655981793511 [0, 383, 537, 727, 760, 879, 929, 987, 1006, 1245, 1393, 1546, 1547, 1565, 1597, 1733, 1753, 1828, 1841, 1917, 1971, 2013, 2034, 2064, 2178, 2332, 2517, 2720, 2818, 2822, 2857, 2858, 2969, 3212, 3322, 3336, 3574, 3596, 3619, 3690, 3876, 3923, 4063]
Iter#13071 New set #60 of size 43 (217.9 its/hit = 0.067s/hit): seed=7945842515804379839 [0, 170, 210, 366, 517, 618, 722, 822, 858, 1020, 1039, 1057, 1257, 1269, 1470, 1520, 1597, 1657, 1752, 1764, 1765, 1785, 1928, 1963, 2075, 2148, 2176, 2197, 2311, 2445, 2765, 2808, 2878, 3024, 3148, 3526, 3546, 3712, 3853, 3970, 4002, 4042, 4054]
Iter#14935 New set #70 of size 43 (213.4 its/hit = 0.071s/hit): seed=4496599554445516762 [0, 26, 123, 173, 201, 315, 368, 388, 498, 553, 726, 736, 786, 987, 1003, 1075, 1282, 1507, 1638, 1662, 1817, 1992, 2046, 2211, 2403, 2416, 2463, 2472, 2473, 2512, 2616, 2740, 2862, 2867, 2954, 3201, 3209, 3255, 3414, 3581, 3634, 3699, 4016]
Iter#17173 New set #80 of size 43 (214.7 its/hit = 0.062s/hit): seed=12483111507080334637 [0, 147, 232, 289, 442, 480, 568, 579, 603, 830, 1218, 1312, 1507, 1516, 1549, 2046, 2150, 2200, 2483, 2489, 2498, 2648, 2672, 2682, 2685, 2834, 2919, 2921, 2978, 3073, 3162, 3415, 3421, 3449, 3451, 3550, 3567, 3598, 3610, 3732, 3742, 4007, 4037]
Iter#18663 New set #90 of size 43 (207.4 its/hit = 0.067s/hit): seed=12573072090371243118 [0, 258, 271, 668, 681, 919, 921, 922, 953, 970, 1056, 1075, 1086, 1164, 1357, 1369, 1377, 1702, 1707, 1898, 1966, 1979, 2002, 2141, 2258, 2394, 2460, 2519, 2682, 2686, 2704, 2926, 3003, 3131, 3133, 3301, 3396, 3552, 3708, 3766, 3948, 4047, 4081]
Iter#19912 New set #100 of size 43 (199.1 its/hit = 0.060s/hit): seed=13449762876723075850 [0, 58, 104, 132, 199, 430, 864, 931, 1145, 1370, 1551, 1612, 1676, 1718, 1879, 1905, 2164, 2192, 2440, 2507, 2545, 2694, 2707, 2755, 2860, 3014, 3037, 3116, 3325, 3391, 3475, 3494, 3546, 3787, 3794, 3819, 3843, 3890, 3904, 3911, 3956, 3965, 4016]
Iter#49673 New set #200 of size 43 (248.4 its/hit = 0.085s/hit): seed=2632808641496821923 [0, 113, 142, 175, 373, 621, 737, 900, 914, 992, 1156, 1414, 1461, 1527, 1678, 1720, 1740, 1798, 1812, 2278, 2283, 2473, 2583, 2712, 2765, 2793, 2890, 2980, 3006, 3172, 3240, 3280, 3457, 3507, 3523, 3547, 3635, 3733, 3770, 3832, 3836, 3870, 3951]
