[*] Computing DDT
[+] DDT Computed
DDT took 317.363989ms
Iter#1 New set #1 of size 25 (1.0 its/hit = 0.000s/hit): seed=137428018303002592 [212, 221, 578, 637, 1071, 1095, 1162, 1231, 1451, 1690, 1718, 2052, 2346, 2367, 2584, 2696, 3010, 3127, 3561, 3638, 3705, 3711, 3719, 3754, 4088]
Iter#589670 New set #300 of size 36 (1965.6 its/hit = 0.657s/hit): seed=6040062560820577021 [46, 64, 196, 225, 461, 532, 751, 1081, 1370, 1393, 1485, 1768, 1772, 2019, 2044, 2124, 2136, 2237, 2362, 2368, 2495, 2574, 2741, 3068, 3233, 3314, 3391, 3404, 3427, 3557, 3596, 3634, 3699, 3740, 3809, 3849]
Iter#780799 New set #400 of size 36 (1952.0 its/hit = 0.653s/hit): seed=4596221556951285714 [53, 74, 173, 332, 452, 454, 607, 664, 700, 753, 786, 878, 1111, 1346, 1631, 1725, 1871, 1937, 2357, 2389, 2463, 2548, 2549, 2591, 2666, 2772, 2956, 3028, 3058, 3139, 3228, 3294, 3546, 3620, 3641, 4017]
Iter#940583 New set #500 of size 36 (1881.2 its/hit = 0.628s/hit): seed=7840088398826352719 [48, 233, 305, 503, 666, 839, 909, 1013, 1269, 1295, 1843, 1899, 2005, 2018, 2035, 2188, 2231, 2349, 2386, 2407, 2562, 2713, 2768, 2773, 2838, 2953, 3117, 3168, 3251, 3306, 3617, 3619, 3647, 3722, 3846, 3963]
Iter#1136010 New set #600 of size 36 (1893.3 its/hit = 0.633s/hit): seed=5344470205686046153 [166, 301, 411, 458, 628, 687, 1089, 1275, 1297, 1373, 1406, 1485, 1742, 1879, 1961, 1981, 2013, 2209, 2272, 2298, 2330, 2416, 2423, 2576, 2670, 2852, 2969, 3171, 3207, 3501, 3609, 3625, 3626, 3736, 3956, 4009]
Iter#1329640 New set #700 of size 36 (1899.5 its/hit = 0.636s/hit): seed=15674296018403844396 [205, 320, 348, 372, 491, 492, 649, 1048, 1056, 1060, 1179, 1207, 1343, 1508, 1727, 1740, 1763, 2024, 2085, 2756, 2760, 2852, 2937, 2940, 2987, 3152, 3171, 3299, 3301, 3315, 3351, 3474, 3581, 3779, 3863, 3971]
Iter#1516520 New set #800 of size 36 (1895.7 its/hit = 0.634s/hit): seed=10226391049971201016 [27, 276, 327, 377, 472, 549, 629, 787, 856, 859, 1116, 1159, 1235, 1308, 1660, 1892, 1894, 1949, 2118, 2131, 2278, 2692, 3000, 3001, 3102, 3139, 3170, 3184, 3196, 3283, 3418, 3503, 3561, 3693, 3958, 4062]
Iter#1703768 New set #900 of size 36 (1893.1 its/hit = 0.633s/hit): seed=14187316731371153547 [57, 90, 107, 316, 327, 349, 542, 667, 766, 860, 1162, 1172, 1244, 1430, 1460, 1512, 1541, 1660, 1777, 1796, 1820, 1952, 2500, 2557, 2573, 2648, 2886, 3169, 3173, 3243, 3256, 3421, 3616, 3807, 3984, 3992]
Iter#1912735 New set #1000 of size 36 (1912.7 its/hit = 0.640s/hit): seed=4408320524312990498 [86, 134, 218, 360, 698, 974, 979, 1012, 1129, 1452, 1491, 1724, 1912, 1944, 1962, 2025, 2046, 2058, 2169, 2358, 2787, 2867, 3052, 3075, 3224, 3285, 3347, 3402, 3496, 3504, 3550, 3747, 3828, 3993, 4015, 4078]
Iter#3903389 New set #2000 of size 36 (1951.7 its/hit = 0.653s/hit): seed=3727270537373899143 [62, 69, 232, 493, 750, 793, 800, 802, 1070, 1125, 1166, 1169, 1292, 1298, 1625, 1810, 1949, 2116, 2244, 2302, 2515, 2627, 2862, 2942, 3079, 3122, 3225, 3252, 3266, 3309, 3403, 3530, 3691, 3725, 3897, 3997]
Iter#5864405 New set #3000 of size 36 (1954.8 its/hit = 0.656s/hit): seed=8287428047811089135 [20, 29, 32, 82, 115, 153, 647, 814, 870, 890, 932, 943, 981, 1131, 1307, 1594, 1613, 1666, 1749, 1789, 1995, 2256, 2294, 2328, 2392, 3205, 3217, 3273, 3350, 3404, 3451, 3552, 3665, 3901, 3931, 4042]
Iter#7764920 New set #4000 of size 36 (1941.2 its/hit = 0.652s/hit): seed=4723274031294216306 [63, 70, 77, 395, 768, 843, 951, 1373, 1454, 1520, 1591, 1776, 1832, 1895, 2205, 2225, 2252, 2337, 2464, 2465, 2549, 2691, 2831, 2842, 3040, 3146, 3156, 3297, 3535, 3572, 3597, 3620, 3623, 3804, 3943, 4003]
Iter#9761207 New set #5000 of size 36 (1952.2 its/hit = 0.656s/hit): seed=8281132980964564947 [100, 125, 208, 479, 676, 839, 898, 1087, 1336, 1450, 1481, 1715, 1789, 1878, 1904, 1938, 2287, 2306, 2391, 2445, 2617, 2666, 2773, 3027, 3091, 3307, 3490, 3491, 3561, 3583, 3614, 3683, 3792, 3890, 3911, 4041]
Iter#11754394 New set #6000 of size 36 (1959.1 its/hit = 0.658s/hit): seed=11476015780074012882 [24, 114, 303, 339, 418, 542, 646, 669, 774, 782, 995, 1111, 1316, 1386, 1494, 1583, 1723, 1960, 2009, 2200, 2294, 2324, 2476, 2548, 2601, 2758, 2917, 3034, 3062, 3183, 3326, 3611, 3703, 3743, 4016, 4031]
Iter#13689543 New set #7000 of size 36 (1955.6 its/hit = 0.657s/hit): seed=15128074891686102524 [167, 296, 301, 402, 539, 581, 628, 691, 726, 769, 883, 889, 964, 998, 1625, 1661, 1779, 1781, 1874, 1901, 1971, 2064, 2257, 2339, 2528, 2637, 2735, 3079, 3229, 3260, 3458, 3535, 3546, 3567, 3774, 3948]
Iter#15706501 New set #8000 of size 36 (1963.3 its/hit = 0.660s/hit): seed=2693606368007442040 [667, 668, 879, 914, 959, 1225, 1261, 1335, 1342, 1491, 1541, 1573, 1664, 1750, 1767, 1898, 1984, 2514, 2528, 2581, 2748, 2776, 2867, 2919, 3101, 3104, 3151, 3155, 3206, 3408, 3411, 3475, 3663, 3826, 3838, 3977]
Iter#17641726 New set #9000 of size 36 (1960.2 its/hit = 0.659s/hit): seed=8290047963728321735 [77, 149, 360, 369, 401, 409, 529, 782, 915, 927, 1195, 1292, 1382, 1402, 1485, 1496, 1502, 1654, 1657, 1717, 1787, 1811, 1845, 2108, 2576, 2680, 2937, 3145, 3279, 3302, 3357, 3481, 3522, 3829, 3878, 4024]
Iter#19717168 New set #10000 of size 36 (1971.7 its/hit = 0.662s/hit): seed=4354946676625842185 [398, 464, 563, 665, 821, 980, 992, 1002, 1380, 1466, 1676, 1749, 1750, 1799, 1838, 1951, 1968, 2232, 2234, 2422, 2452, 2548, 2579, 2760, 2813, 2953, 2964, 3064, 3580, 3725, 3738, 3754, 3781, 3837, 3987, 4009]
