[*] Computing DDT
[+] DDT Computed
DDT took 323.087835ms
Iter#1 New set #1 of size 29 (1.0 its/hit = 0.000s/hit): seed=17529418130348545868 [29, 82, 206, 279, 344, 368, 446, 610, 732, 738, 786, 883, 920, 1405, 2035, 2100, 2149, 2395, 2489, 2516, 2974, 3042, 3598, 3612, 3631, 3696, 3750, 3828, 4016]
Iter#3176672 New set #200 of size 46 (15883.4 its/hit = 4.220s/hit): seed=7004782496625420275 [124, 262, 271, 586, 870, 980, 1045, 1111, 1156, 1166, 1170, 1345, 1348, 1355, 1383, 1539, 1573, 1692, 1757, 1994, 2076, 2181, 2300, 2322, 2374, 2587, 2679, 2767, 2880, 2911, 3174, 3192, 3320, 3329, 3344, 3499, 3539, 3542, 3566, 3586, 3600, 3643, 3682, 3854, 3926, 4090]
Iter#4640212 New set #300 of size 46 (15467.4 its/hit = 4.087s/hit): seed=17952211638068964228 [55, 106, 161, 374, 479, 482, 656, 708, 770, 858, 874, 1015, 1034, 1320, 1376, 1403, 1883, 1886, 1956, 1982, 2166, 2229, 2253, 2295, 2350, 2372, 2603, 2661, 2662, 2804, 2860, 2912, 2949, 2962, 3077, 3200, 3425, 3503, 3747, 3794, 3884, 3907, 3970, 3989, 4000, 4086]
Iter#6012830 New set #400 of size 46 (15032.1 its/hit = 3.960s/hit): seed=16330047318108207397 [51, 138, 832, 905, 915, 975, 1035, 1052, 1113, 1159, 1160, 1184, 1228, 1360, 1407, 1446, 1451, 1586, 1679, 1850, 1864, 1992, 2048, 2084, 2284, 2341, 2405, 2499, 2581, 2590, 2793, 2949, 3176, 3195, 3227, 3282, 3331, 3347, 3529, 3541, 3546, 3598, 3787, 3838, 3875, 3996]
Iter#7494842 New set #500 of size 46 (14989.7 its/hit = 3.942s/hit): seed=14552248187780179244 [44, 119, 244, 350, 429, 529, 534, 609, 1008, 1088, 1203, 1236, 1264, 1342, 1360, 1402, 1693, 1720, 1771, 1778, 1896, 1924, 1954, 1964, 2119, 2154, 2190, 2334, 2483, 2896, 2995, 3020, 3034, 3137, 3238, 3377, 3520, 3523, 3719, 3751, 3797, 3855, 3930, 3948, 3975, 4018]
Iter#8900745 New set #600 of size 46 (14834.6 its/hit = 3.895s/hit): seed=4884019024955095243 [60, 284, 530, 555, 565, 626, 699, 877, 985, 1048, 1105, 1229, 1380, 1609, 1681, 1700, 1746, 1794, 1871, 1970, 2088, 2196, 2549, 2592, 2668, 2779, 2965, 3105, 3150, 3164, 3188, 3232, 3236, 3237, 3304, 3396, 3528, 3531, 3720, 3754, 3846, 3880, 3913, 3989, 4061, 4079]
Iter#10349772 New set #700 of size 46 (14785.4 its/hit = 3.877s/hit): seed=16347336103813044773 [51, 86, 196, 296, 317, 441, 489, 592, 715, 823, 973, 991, 1001, 1363, 1370, 1377, 1446, 1544, 1668, 1691, 1714, 2042, 2066, 2081, 2206, 2255, 2375, 2460, 2537, 2550, 2608, 2820, 2840, 2958, 2991, 3012, 3060, 3119, 3251, 3417, 3507, 3567, 3719, 3838, 3872, 3961]
Iter#11669246 New set #800 of size 46 (14586.6 its/hit = 3.824s/hit): seed=229806232721746483 [97, 161, 313, 376, 410, 693, 723, 784, 1125, 1156, 1265, 1356, 1435, 1495, 1528, 1643, 1718, 1732, 1811, 1916, 1918, 1933, 2053, 2127, 2182, 2412, 2440, 2817, 2939, 2967, 2982, 2987, 3096, 3168, 3266, 3427, 3530, 3586, 3601, 3627, 3645, 3663, 3746, 3935, 3981, 4065]
Iter#13193891 New set #900 of size 46 (14659.9 its/hit = 3.842s/hit): seed=7485520687443173815 [72, 131, 176, 268, 385, 629, 652, 764, 839, 860, 902, 1066, 1149, 1206, 1219, 1403, 1442, 1661, 1899, 1928, 2195, 2206, 2250, 2258, 2289, 2321, 2447, 2698, 2724, 2757, 2796, 2812, 2848, 2982, 3059, 3099, 3160, 3262, 3304, 3407, 3452, 3614, 3772, 3800, 3962, 4057]
Iter#14642554 New set #1000 of size 46 (14642.6 its/hit = 3.837s/hit): seed=13185223239804614084 [191, 327, 390, 514, 587, 598, 607, 610, 704, 825, 1045, 1224, 1262, 1326, 1333, 1415, 1605, 1606, 1840, 1875, 1888, 2026, 2136, 2241, 2288, 2299, 2309, 2345, 2506, 2520, 2529, 2657, 2714, 2929, 2937, 3049, 3146, 3319, 3375, 3402, 3748, 3761, 3763, 3765, 3903, 3907]
Iter#28958248 New set #2000 of size 46 (14479.1 its/hit = 3.795s/hit): seed=5442399817356093179 [11, 74, 90, 97, 186, 267, 704, 895, 1149, 1242, 1245, 1332, 1337, 1402, 1736, 1850, 1919, 1999, 2100, 2104, 2133, 2150, 2239, 2246, 2321, 2604, 2649, 2660, 2741, 2785, 2814, 2927, 2984, 3045, 3091, 3148, 3192, 3276, 3430, 3611, 3717, 3731, 3753, 3865, 3918, 3979]
