[*] Computing DDT
[+] DDT Computed
DDT took 55.062µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=14192604979220724716 [0, 4, 5, 6, 8, 12]
Iter#1992384 New set #800000 of size 7 (2.5 its/hit = 0.000s/hit): seed=6267032277685858751 [0, 4, 8, 9, 10, 11, 12]
Iter#2240328 New set #900000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16507659483125267174 [0, 1, 3, 5, 7, 11, 14]
Iter#2488199 New set #1000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=3725340423399616894 [0, 1, 3, 5, 7, 11, 14]
Iter#4979900 New set #2000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15130233354180720583 [1, 3, 5, 6, 7, 10, 13]
Iter#7470270 New set #3000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15607865330099629411 [1, 6, 8, 9, 10, 11, 13]
Iter#9958785 New set #4000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5157551998573079277 [1, 6, 8, 9, 10, 11, 13]
Iter#12447600 New set #5000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16175209424051566608 [0, 4, 8, 9, 10, 11, 12]
Iter#14938545 New set #6000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10019180446723128703 [1, 2, 3, 5, 7, 12, 13]
Iter#17426370 New set #7000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1642792900612568856 [0, 2, 3, 4, 8, 12, 13]
Iter#19914455 New set #8000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13038941530288211101 [0, 4, 8, 9, 10, 11, 12]
Iter#22405457 New set #9000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12685396466817722636 [0, 4, 8, 9, 10, 11, 12]
Iter#24895440 New set #10000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12102816314131165566 [1, 2, 3, 6, 10, 12, 13]
Iter#49786244 New set #20000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=16362872968361607301 [0, 4, 5, 8, 11, 12, 14]
Iter#74674122 New set #30000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2279706358258706712 [0, 4, 8, 9, 10, 11, 12]
Iter#99548721 New set #40000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12713958793801992475 [0, 5, 8, 9, 10, 11, 14]
Iter#124438387 New set #50000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7918901987692448613 [0, 2, 3, 4, 8, 12, 13]
Iter#149328452 New set #60000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8142667833162779579 [0, 4, 5, 8, 11, 12, 14]
Iter#174219400 New set #70000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9984581513816188378 [0, 1, 3, 5, 7, 11, 14]
Iter#199111069 New set #80000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7145901269337655778 [0, 4, 5, 8, 11, 12, 14]
Iter#224012727 New set #90000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=9325867069510760009 [0, 5, 8, 9, 10, 11, 14]
Iter#248899438 New set #100000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15488331022790332924 [1, 2, 3, 6, 10, 12, 13]
