[*] Computing DDT
[+] DDT Computed
DDT took 47.202µs
Iter#17259688 New set #5000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=10944820256163895186 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#20707721 New set #6000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=3200413006064112869 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#24164082 New set #7000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=12228051099451648313 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#27617905 New set #8000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=4107840421331143008 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#31075119 New set #9000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=4290567382032292009 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#34533974 New set #10000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=4451353473574576598 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#69052037 New set #20000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=6476470122940965236 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#103583732 New set #30000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=6734786646789289628 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#138139010 New set #40000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=12097940266477091682 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#172692630 New set #50000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=8768175290829010791 [1, 6, 7, 8, 9, 11, 12, 13, 15]
Iter#207229939 New set #60000000 of size 9 (3.5 its/hit = 0.000s/hit): seed=8045844818315028097 [1, 6, 7, 8, 9, 11, 12, 13, 15]
