[*] Computing DDT
[+] DDT Computed
DDT took 35.691µs
Iter#10284897 New set #3000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3038243732905619532 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#13712839 New set #4000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3871485012499913140 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#17136300 New set #5000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=6651811766077245435 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#20569496 New set #6000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=6129047396594222435 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#24001649 New set #7000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=10336260426384519392 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#27433321 New set #8000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=844622001649068017 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#30865208 New set #9000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=298467991275582158 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#34290360 New set #10000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=14197268328083814827 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#68586247 New set #20000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=10304718603962442241 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#102867313 New set #30000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16820570206570234492 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#137141080 New set #40000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=16420465036564637656 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#171430819 New set #50000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=3462986718974052035 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#205715131 New set #60000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=4441447719159656964 [0, 4, 5, 6, 7, 8, 9, 12, 13]
Iter#240002691 New set #70000000 of size 9 (3.4 its/hit = 0.000s/hit): seed=8644559953639513055 [0, 4, 5, 6, 7, 8, 9, 12, 13]
