[*] Computing DDT
[+] DDT Computed
DDT took 42.221µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=18264643204794474856 [1, 7, 9, 11, 12, 15]
Iter#8543 New set #6000 of size 7 (1.4 its/hit = 0.000s/hit): seed=13821278028821698249 [2, 3, 6, 8, 11, 12, 14]
Iter#9947 New set #7000 of size 7 (1.4 its/hit = 0.000s/hit): seed=10402816084404194209 [0, 2, 4, 6, 7, 8, 12]
Iter#11357 New set #8000 of size 7 (1.4 its/hit = 0.000s/hit): seed=15335602331022572538 [1, 2, 3, 5, 7, 10, 13]
Iter#12768 New set #9000 of size 7 (1.4 its/hit = 0.000s/hit): seed=7196003850372614162 [1, 3, 5, 6, 7, 9, 15]
Iter#14219 New set #10000 of size 7 (1.4 its/hit = 0.000s/hit): seed=15092241541779986934 [0, 2, 4, 5, 6, 10, 13]
Iter#28358 New set #20000 of size 7 (1.4 its/hit = 0.000s/hit): seed=13318975574973140788 [0, 1, 3, 5, 7, 9, 15]
Iter#42566 New set #30000 of size 7 (1.4 its/hit = 0.000s/hit): seed=6202263906717684157 [0, 2, 4, 6, 8, 12, 15]
Iter#56769 New set #40000 of size 7 (1.4 its/hit = 0.000s/hit): seed=12878055247923305320 [0, 1, 2, 4, 6, 8, 12]
Iter#70917 New set #50000 of size 7 (1.4 its/hit = 0.000s/hit): seed=17261302243777289604 [0, 2, 4, 6, 7, 8, 12]
Iter#85250 New set #60000 of size 7 (1.4 its/hit = 0.000s/hit): seed=18172657217929688253 [2, 3, 5, 9, 10, 13, 15]
Iter#99573 New set #70000 of size 7 (1.4 its/hit = 0.000s/hit): seed=17707163488871926137 [1, 2, 3, 5, 7, 10, 13]
Iter#113818 New set #80000 of size 7 (1.4 its/hit = 0.000s/hit): seed=13269654250573982551 [0, 2, 4, 6, 8, 12, 15]
Iter#128167 New set #90000 of size 7 (1.4 its/hit = 0.000s/hit): seed=275668849105201399 [0, 2, 4, 5, 6, 10, 13]
Iter#142513 New set #100000 of size 7 (1.4 its/hit = 0.000s/hit): seed=11824999830354543219 [1, 2, 3, 5, 7, 10, 13]
Iter#285087 New set #200000 of size 7 (1.4 its/hit = 0.000s/hit): seed=8688849494155574151 [1, 2, 3, 5, 7, 10, 13]
Iter#427234 New set #300000 of size 7 (1.4 its/hit = 0.000s/hit): seed=2780529576664099256 [2, 5, 6, 8, 10, 12, 13]
Iter#569849 New set #400000 of size 7 (1.4 its/hit = 0.000s/hit): seed=10173412079247287687 [0, 2, 4, 5, 6, 10, 13]
Iter#712507 New set #500000 of size 7 (1.4 its/hit = 0.000s/hit): seed=3198875278675882939 [3, 5, 6, 9, 11, 14, 15]
Iter#854738 New set #600000 of size 7 (1.4 its/hit = 0.000s/hit): seed=9273646592251625237 [0, 1, 3, 5, 7, 9, 15]
Iter#996944 New set #700000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14832782042547718556 [1, 3, 5, 7, 9, 14, 15]
Iter#1139081 New set #800000 of size 7 (1.4 its/hit = 0.000s/hit): seed=12721943406578615992 [1, 2, 3, 5, 7, 10, 13]
Iter#1281669 New set #900000 of size 7 (1.4 its/hit = 0.000s/hit): seed=9708323742643164912 [0, 2, 4, 5, 6, 10, 13]
Iter#1424259 New set #1000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=5685624935349490575 [0, 2, 4, 6, 8, 9, 12]
Iter#2845460 New set #2000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=17997034253253018690 [0, 2, 4, 6, 8, 9, 12]
Iter#4269526 New set #3000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=13960534430374478524 [1, 3, 5, 6, 7, 11, 14]
Iter#5692028 New set #4000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=8368387389230601710 [1, 3, 5, 6, 7, 11, 14]
Iter#7115956 New set #5000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=15995232057974725481 [1, 3, 5, 7, 9, 12, 15]
Iter#8539822 New set #6000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=7553111152782963781 [0, 2, 4, 5, 6, 10, 13]
Iter#9963449 New set #7000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=2272533028765079721 [0, 1, 2, 4, 6, 8, 12]
Iter#11386866 New set #8000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=4911966530341791576 [0, 2, 4, 5, 6, 10, 13]
Iter#12809129 New set #9000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=12716447704879114418 [1, 2, 3, 5, 7, 10, 13]
Iter#14232392 New set #10000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=17461306989207887583 [0, 2, 4, 6, 7, 8, 12]
Iter#28465889 New set #20000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=15344518759355813200 [2, 3, 5, 9, 10, 13, 15]
Iter#42701122 New set #30000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14232420566732554801 [1, 2, 3, 5, 7, 9, 15]
Iter#56941046 New set #40000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=7737889644486825722 [0, 2, 4, 6, 8, 11, 12]
Iter#71180643 New set #50000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14366865667684033305 [0, 2, 4, 6, 8, 12, 13]
Iter#85414227 New set #60000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=11382528214407784323 [1, 3, 5, 7, 9, 14, 15]
Iter#99655967 New set #70000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=16297007672899635755 [0, 2, 4, 6, 7, 8, 12]
Iter#113891487 New set #80000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=18009377978684285735 [1, 3, 5, 7, 9, 10, 15]
Iter#128130864 New set #90000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=2985549052038750558 [0, 1, 3, 5, 7, 9, 15]
Iter#142367627 New set #100000000 of size 7 (1.4 its/hit = 0.000s/hit): seed=14847306486914895003 [3, 5, 6, 9, 11, 14, 15]
