[*] Computing DDT
[+] DDT Computed
DDT took 46.972µs
Iter#1 New set #1 of size 6 (1.0 its/hit = 0.000s/hit): seed=14112286785682658163 [1, 3, 7, 8, 13, 14]
Iter#4977276 New set #2000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1013694787722044665 [4, 5, 8, 9, 11, 13, 15]
Iter#7467361 New set #3000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1063299145135032263 [2, 3, 5, 6, 7, 11, 12]
Iter#9955242 New set #4000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1915601485240546166 [1, 4, 5, 7, 8, 9, 14]
Iter#12442602 New set #5000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=8479252063261950758 [1, 2, 3, 6, 7, 8, 14]
Iter#14932899 New set #6000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17608515075450164769 [2, 3, 5, 6, 7, 11, 12]
Iter#17421174 New set #7000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=12862731299999373609 [2, 4, 5, 8, 9, 11, 12]
Iter#19911176 New set #8000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=1432580708518915312 [2, 5, 9, 11, 12, 13, 15]
Iter#22403577 New set #9000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17975433875196207873 [1, 6, 7, 8, 10, 13, 14]
Iter#24893713 New set #10000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=13549467582606821287 [1, 2, 3, 6, 7, 8, 14]
Iter#49781922 New set #20000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=4431983759597421816 [2, 4, 5, 8, 9, 11, 12]
Iter#74664543 New set #30000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=10630172274604703241 [1, 6, 7, 8, 10, 13, 14]
Iter#99568428 New set #40000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=14944821254188936929 [1, 6, 7, 8, 10, 13, 14]
Iter#124445346 New set #50000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=7706161409444862573 [1, 6, 9, 10, 11, 13, 15]
Iter#149332902 New set #60000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=2194617183233682247 [2, 5, 9, 11, 12, 13, 15]
Iter#174214726 New set #70000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=15131785382161361333 [1, 6, 9, 10, 11, 13, 15]
Iter#199108803 New set #80000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17032433853397553009 [1, 4, 5, 7, 8, 9, 14]
Iter#223990159 New set #90000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=17809103912104150750 [1, 6, 7, 8, 10, 13, 14]
Iter#248874711 New set #100000000 of size 7 (2.5 its/hit = 0.000s/hit): seed=5161063673114354818 [2, 4, 5, 8, 9, 11, 12]
