[*] Computing DDT
[+] DDT Computed
DDT took 42.472µs
Iter#6274520 New set #3000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=18261054784872981077 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#8363409 New set #4000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=991003028445933859 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#10455038 New set #5000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16490805738174910014 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#12546503 New set #6000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16281575493668690195 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#14638142 New set #7000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6390134509537887670 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#16729019 New set #8000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=9469353358425682156 [0, 3, 4, 5, 6, 7, 11, 15]
Iter#18821653 New set #9000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=14018859916735699958 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#20910516 New set #10000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=11638679479333877360 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#41826347 New set #20000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=18349601691405627622 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#62727651 New set #30000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=13938112713132933937 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#83637497 New set #40000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=17963666020861255706 [0, 3, 4, 5, 6, 7, 9, 12]
Iter#104544151 New set #50000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=16509392151338004331 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#125446291 New set #60000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=6046649337518388511 [0, 2, 3, 4, 7, 11, 13, 15]
Iter#146353535 New set #70000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=11200093394335252888 [0, 3, 4, 5, 6, 7, 11, 15]
Iter#167261011 New set #80000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=8093831651147988111 [0, 3, 4, 5, 6, 7, 11, 15]
Iter#188171242 New set #90000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=11784012054140875975 [0, 1, 3, 5, 6, 9, 12, 14]
Iter#209073629 New set #100000000 of size 8 (2.1 its/hit = 0.000s/hit): seed=11560476122907809284 [0, 3, 4, 5, 6, 7, 11, 15]
